iter	Logloss
0	0.6886256889
1	0.6842758744
2	0.6782894841
3	0.6729099839
4	0.669015955
5	0.6645295178
6	0.6606055366
7	0.656245055
8	0.6526113439
9	0.6483062462
10	0.6435257241
11	0.63969379
12	0.6363781117
13	0.631563116
14	0.6277950428
15	0.6241761667
16	0.6195324085
17	0.6152805046
18	0.6108939559
19	0.607223864
20	0.6022898356
21	0.5980929622
22	0.5946379061
23	0.5904259858
24	0.5871860363
25	0.5834332925
26	0.579936734
27	0.5764574122
28	0.5731376012
29	0.5697729323
30	0.566106655
31	0.5625382883
32	0.5593458811
33	0.556037479
34	0.5523011243
35	0.5488280897
36	0.5453685125
37	0.5421838407
38	0.5384763435
39	0.5353161141
40	0.5326273883
41	0.5289332778
42	0.525813138
43	0.5229406004
44	0.5208473559
45	0.5179170679
46	0.5152451551
47	0.5121586058
48	0.5094953113
49	0.50643052
50	0.5035010444
51	0.49995327
52	0.4970530757
53	0.4937865293
54	0.4908623166
55	0.4879754384
56	0.4853284271
57	0.4833698273
58	0.4807416068
59	0.4780926881
60	0.475282881
61	0.473304254
62	0.4704567238
63	0.4673335111
64	0.4650811089
65	0.4620862184
66	0.459614789
67	0.4573379799
68	0.455247985
69	0.4524728634
70	0.4494953509
71	0.4471736837
72	0.4454580943
73	0.4431228638
74	0.4410019981
75	0.4385385867
76	0.4365296894
77	0.4343795776
78	0.4320333975
79	0.4291477203
80	0.4274435397
81	0.4253715233
82	0.4231378767
83	0.4211278492
84	0.4190455543
85	0.4163523074
86	0.4147254096
87	0.4129532708
88	0.4110628057
89	0.4091882352
90	0.4074969822
91	0.4055271149
92	0.4034039533
93	0.4020200659
94	0.3999672996
95	0.3982644611
96	0.3962932869
97	0.3944496225
98	0.3925736745
99	0.3910436277
100	0.3893265901
101	0.3872356062
102	0.3851393594
103	0.3828597599
104	0.3811104386
105	0.3791175065
106	0.3773505599
107	0.375854139
108	0.3743071379
109	0.3724125403
110	0.3706660447
111	0.3690016005
112	0.3675534637
113	0.3657697748
114	0.364203771
115	0.3622489505
116	0.3605810801
117	0.3592845775
118	0.3579131939
119	0.3563628373
120	0.3547295464
121	0.35316711
122	0.3515781826
123	0.3501216041
124	0.3490112446
125	0.3475119273
126	0.3461240486
127	0.3449123171
128	0.343260871
129	0.342116144
130	0.3405042931
131	0.339578134
132	0.3378825718
133	0.3367724595
134	0.3352931341
135	0.333743272
136	0.3327006587
137	0.3316539835
138	0.3307685146
139	0.3296816084
140	0.3289227309
141	0.3277135778
142	0.3267820853
143	0.3254222163
144	0.3243213936
145	0.3230696078
146	0.3219581887
147	0.3207814605
148	0.319888998
149	0.318782877
150	0.3179266541
151	0.3168348736
152	0.3159931324
153	0.3150776757
154	0.3136502019
155	0.3127249965
156	0.3113440054
157	0.3102714397
158	0.3094017594
159	0.3086744944
160	0.3077104357
161	0.3066936422
162	0.3056871273
163	0.3045017101
164	0.303751345
165	0.3026560324
166	0.3017552694
167	0.3007753867
168	0.2998467198
169	0.2985825715
170	0.297496725
171	0.296307034
172	0.2956521423
173	0.2944507246
174	0.2938260149
175	0.2927625797
176	0.2917288144
177	0.2906856007
178	0.2897845727
179	0.2887733777
180	0.2876931473
181	0.2870123828
182	0.2861697232
183	0.2852889697
184	0.2843640999
185	0.2836280046
186	0.2827149321
187	0.2819525931
188	0.2813467803
189	0.2805696417
190	0.2797759021
191	0.2788085054
192	0.278047491
193	0.2769760909
194	0.2759095298
195	0.2750130406
196	0.2740332286
197	0.2732534585
198	0.2726000327
199	0.2717583444
200	0.2708068424
201	0.2702464704
202	0.2694694908
203	0.2688377522
204	0.2681244744
205	0.2675493911
206	0.2667269177
207	0.2659352974
208	0.2653066494
209	0.2644813326
210	0.2638474217
211	0.2631297995
212	0.2625539568
213	0.2617768535
214	0.2610457562
215	0.2600092005
216	0.2593388028
217	0.2588207633
218	0.2584437264
219	0.2578456137
220	0.2568958247
