iter	Logloss
0	0.6873658498
1	0.6806924608
2	0.6735522659
3	0.6674713559
4	0.6612974096
5	0.6552030775
6	0.6489716989
7	0.6441778254
8	0.6380783364
9	0.6310903761
10	0.6260443793
11	0.6195035157
12	0.6140352885
13	0.6078181797
14	0.6024794402
15	0.5976598528
16	0.592296671
17	0.5881108178
18	0.582979944
19	0.5779490294
20	0.5719941457
21	0.5669844945
22	0.5633146851
23	0.5580064279
24	0.5537789663
25	0.5488754908
26	0.5445738192
27	0.5414867048
28	0.5371168278
29	0.5328724826
30	0.528875351
31	0.5246013712
32	0.5202599278
33	0.5163143299
34	0.5123803527
35	0.5083048785
36	0.5041597154
37	0.5002781197
38	0.4973841067
39	0.4936692273
40	0.490181711
41	0.4860209359
42	0.4822162346
43	0.4787438711
44	0.4755889045
45	0.4738128803
46	0.4701254809
47	0.4668551904
48	0.4638702251
49	0.4606915933
50	0.4568050526
51	0.4534073582
52	0.4495249148
53	0.4464161484
54	0.4432699415
55	0.4403417022
56	0.4375944491
57	0.4342524211
58	0.4315803669
59	0.428264406
60	0.4252413644
61	0.4222329458
62	0.4195927514
63	0.4163783038
64	0.4129148766
65	0.4100508513
66	0.40734503
67	0.4046453547
68	0.4018585064
69	0.3996865661
70	0.3971119987
71	0.3951026069
72	0.3922798722
73	0.3905407234
74	0.3881566083
75	0.3850823862
76	0.3825486501
77	0.3798442417
78	0.3777843405
79	0.3758650179
80	0.3742260403
81	0.3714507774
82	0.3696875396
83	0.3672435902
84	0.3655197002
85	0.3634779188
86	0.361610342
87	0.3591406787
88	0.3568456085
89	0.3547118858
90	0.3519435459
91	0.3498721653
92	0.3480647052
93	0.345661022
94	0.3441198137
95	0.3419787795
96	0.3400620355
97	0.3380603084
98	0.3362260748
99	0.3341132976
100	0.3321269
101	0.3304622085
102	0.3283085293
103	0.3261648107
104	0.3245725985
105	0.3230820409
106	0.3214819166
107	0.319730794
108	0.3175592776
109	0.3162989087
110	0.3146831371
111	0.3127662164
112	0.3114329091
113	0.3096307825
114	0.3077858466
115	0.3064614049
116	0.3051953846
117	0.3038146408
118	0.301947735
119	0.3005803073
120	0.2992807318
121	0.2977121494
122	0.296107928
123	0.2943892302
124	0.2927838255
125	0.2915889422
126	0.2900569174
127	0.2890757808
128	0.2876919111
129	0.2867447182
130	0.2855944457
131	0.2841587773
132	0.2830984151
133	0.2819673397
134	0.2806886037
135	0.2796435533
136	0.2789501791
137	0.2777544304
138	0.2765159254
139	0.2756575832
140	0.274925903
141	0.2736038455
142	0.2725157914
143	0.2714892847
144	0.2701844816
145	0.2689794258
146	0.2678975353
147	0.2668737835
148	0.2661349508
149	0.2652490404
150	0.2643047792
151	0.2630614528
152	0.262049728
153	0.2610502243
154	0.2599006759
155	0.258984707
156	0.2580120122
157	0.2568388338
158	0.2560891399
159	0.2550241682
160	0.2537767446
161	0.2527626885
162	0.251757039
163	0.2508406109
164	0.2499270086
165	0.2492326101
166	0.2482546524
167	0.2471344559
168	0.2461531957
169	0.2451499833
170	0.2440895151
171	0.2429649918
172	0.2421878709
173	0.2410739969
174	0.2402250502
175	0.2393235454
176	0.2383574556
177	0.2372861792
178	0.2363652653
179	0.2354926003
180	0.2343659048
181	0.2335145915
182	0.2328263389
183	0.2321412652
184	0.2312189385
185	0.2304788872
186	0.2297538122
187	0.2290045597
188	0.228330153
189	0.227477109
190	0.2268180141
191	0.2260643288
192	0.225293601
193	0.2247081156
194	0.2239486553
195	0.2231856452
196	0.222447466
197	0.2217625689
198	0.2209009241
199	0.2199888406
200	0.2193042614
