iter	RMSE
0	0.4931107312
1	0.484995156
2	0.479138766
3	0.4726670709
4	0.4663296636
5	0.4612760729
6	0.4554647445
7	0.4489369072
8	0.4432913754
9	0.4375597966
10	0.4324193245
11	0.4273558771
12	0.4228164422
13	0.4173624646
14	0.4124518849
15	0.4082129106
16	0.4041467558
17	0.3999887257
18	0.3961138999
19	0.3923752082
20	0.3892578857
21	0.3855200217
22	0.3817078902
23	0.3772882006
24	0.3732946089
25	0.3700135393
26	0.3673336878
27	0.3642971761
28	0.3613887614
29	0.3588964905
30	0.3561593249
31	0.3534217701
32	0.3504233958
33	0.3478771625
34	0.3451290536
35	0.3426788424
36	0.3394743174
37	0.3372043379
38	0.3346004002
39	0.3326277769
40	0.3302215521
41	0.3282940313
42	0.3263861411
43	0.3243632561
44	0.322483781
45	0.3209931651
46	0.3194358028
47	0.317900364
48	0.3160795378
49	0.3141216932
50	0.3121039185
51	0.3105328683
52	0.3089470288
53	0.3073546328
54	0.305302869
55	0.3038308555
56	0.3023510889
57	0.3006800282
58	0.2987809501
59	0.2975268595
60	0.2960167183
61	0.2945276224
62	0.293233988
63	0.292036852
64	0.2908639354
65	0.2900829798
66	0.2891272678
67	0.2880164739
68	0.2864113656
69	0.2849327399
70	0.2837741864
71	0.2822364708
72	0.28051557
73	0.2795391132
74	0.2783690046
75	0.2770245936
76	0.2763282873
77	0.275242011
78	0.2744220456
79	0.273540212
80	0.2725925615
81	0.272017784
82	0.2715222903
83	0.2708699412
84	0.2700771863
85	0.2691837479
86	0.2686688596
87	0.267773541
88	0.2671052089
89	0.2666818584
90	0.265746536
91	0.2647756036
92	0.2636843665
93	0.2631167489
94	0.2627131998
95	0.2620534098
96	0.2615353945
97	0.2609851158
98	0.260574965
99	0.2602395866
100	0.2595273719
101	0.258806497
102	0.2581875108
103	0.2577357789
104	0.257495909
105	0.2565795274
106	0.2558231696
107	0.2549922917
108	0.2539256974
109	0.2535581935
110	0.2528952991
111	0.2521273173
112	0.2513269185
113	0.2509747423
114	0.250310144
115	0.2495956804
116	0.2490019127
117	0.248403729
118	0.2476411783
119	0.2471475939
120	0.2463330497
121	0.2458966026
122	0.2451477694
123	0.2447944852
124	0.2442107431
125	0.243841656
126	0.2434140629
127	0.2429042687
128	0.2424496025
129	0.2417004427
130	0.2413033908
131	0.2410339098
132	0.2406017704
133	0.2398456045
134	0.2393103149
135	0.238472408
136	0.2381453085
137	0.2375143612
138	0.23660367
139	0.2359531101
140	0.2354092203
141	0.2348705027
142	0.2339340996
143	0.2335782585
144	0.2331291289
145	0.2328016325
146	0.2324150819
147	0.2317208875
148	0.2314081557
149	0.2310148709
150	0.2304565725
151	0.2295382708
152	0.2290955882
153	0.2285847374
154	0.228086773
155	0.2276937206
156	0.2275901308
157	0.2270350609
158	0.2267110416
159	0.2262323212
160	0.2258229251
161	0.225378023
162	0.224907183
163	0.2239603229
164	0.2236742733
165	0.2233167266
166	0.2225589122
167	0.2223699418
168	0.2219213127
169	0.2215399573
170	0.2208857404
171	0.2206402622
172	0.2202715855
173	0.2194325817
174	0.219223266
175	0.2189077665
176	0.2185618125
177	0.2181445149
178	0.2177068292
179	0.2174904167
180	0.217133508
181	0.2166641667
182	0.2165001266
183	0.2155192834
184	0.2152485225
185	0.21503481
186	0.2144452313
187	0.2139964583
188	0.2136033109
189	0.2131063517
190	0.2130636231
191	0.2121413171
192	0.2116666304
193	0.2113339382
194	0.2108709148
195	0.2106211324
196	0.2104294106
197	0.2103416065
198	0.2100668024
199	0.2096701152
200	0.2090340517
201	0.2084307386
202	0.2080355705
203	0.2075533768
204	0.2073432373
205	0.2071611362
206	0.2064136549
207	0.2063660224
208	0.2061290182
209	0.2060075672
210	0.2058693305
211	0.2055439254
212	0.2049331816
213	0.2044966821
214	0.2039428933
215	0.203472097
216	0.2032777896
217	0.2031913851
218	0.2029985804
219	0.2028473699
220	0.2027307761
221	0.2017820702
222	0.2015655236
223	0.2011879143
224	0.2010790481
225	0.2006852838
226	0.2005125988
227	0.1999967731
228	0.1996684592
229	0.1994178465
230	0.1992913966
231	0.1991098117
232	0.1989846992
233	0.1988738006
234	0.1983539002
235	0.1981458943
236	0.1977600037
237	0.1972687561
238	0.1971937614
239	0.196975242
240	0.1964974108
241	0.1964535818
242	0.1964126638
243	0.1961985462
244	0.1961223152
245	0.1958460911
246	0.1958120326
247	0.1954261997
248	0.1951468698
249	0.1943712898
250	0.1942182826
251	0.1939072601
252	0.1935784853
253	0.1935086989
254	0.1934720144
255	0.1933769298
256	0.1933506391
257	0.1924802827
258	0.19163846
259	0.1915831418
260	0.1906539502
261	0.1902243011
262	0.1901703928
263	0.1899389101
264	0.1898273304
265	0.1897964041
266	0.1897680358
267	0.1897362161
268	0.1894544062
269	0.189399095
270	0.1884792407
271	0.1884212093
272	0.1883666718
273	0.1875635072
274	0.1874529387
275	0.187330179
276	0.1872205066
277	0.1871926273
278	0.1868666474
279	0.1867119016
280	0.1865416783
281	0.1858292912
282	0.1855192147
283	0.1845771502
284	0.1845491699
285	0.1841100966
286	0.184078788
287	0.1839448128
288	0.1837944627
289	0.1833359914
290	0.183122525
291	0.1830831224
292	0.1829468821
293	0.1825548213
294	0.1823652774
