iter	Passed	Remaining
444	1136	1417
445	1138	1414
446	1141	1412
447	1145	1411
448	1148	1409
449	1152	1408
450	1155	1406
451	1159	1405
452	1165	1407
453	1173	1410
454	1177	1410
455	1181	1409
456	1184	1407
457	1186	1404
458	1190	1403
459	1195	1403
460	1199	1401
461	1202	1400
462	1205	1397
463	1209	1397
464	1214	1396
465	1216	1394
466	1219	1391
467	1220	1387
468	1222	1384
469	1225	1381
470	1228	1379
471	1230	1376
472	1232	1373
473	1234	1369
474	1236	1366
475	1237	1362
476	1242	1361
477	1244	1359
478	1246	1355
479	1248	1352
480	1249	1348
481	1251	1344
482	1252	1341
483	1256	1339
484	1259	1337
485	1261	1334
486	1263	1331
487	1265	1327
488	1266	1323
489	1267	1319
490	1269	1315
491	1272	1313
492	1274	1310
493	1276	1307
494	1278	1303
495	1279	1300
496	1281	1296
497	1283	1293
498	1284	1289
499	1287	1287
500	1289	1284
501	1290	1280
502	1292	1277
503	1294	1273
504	1295	1270
505	1297	1266
506	1299	1263
507	1300	1259
508	1303	1256
509	1304	1253
510	1306	1250
511	1308	1247
512	1310	1243
513	1312	1240
514	1314	1237
515	1315	1234
516	1332	1245
517	1335	1242
518	1336	1238
519	1338	1235
520	1340	1232
521	1342	1229
522	1343	1225
523	1345	1222
524	1347	1218
525	1349	1215
526	1350	1212
527	1352	1209
528	1354	1206
529	1356	1202
530	1358	1199
531	1359	1195
532	1361	1192
533	1363	1189
534	1366	1187
535	1367	1184
536	1369	1180
537	1371	1177
538	1373	1174
539	1375	1171
540	1376	1168
541	1378	1164
542	1381	1162
543	1383	1159
544	1385	1156
545	1387	1153
546	1389	1150
547	1391	1147
548	1393	1144
549	1394	1141
550	1397	1138
551	1399	1136
552	1401	1133
553	1403	1130
554	1405	1126
555	1407	1123
556	1408	1120
557	1410	1117
558	1413	1114
559	1417	1113
560	1420	1111
561	1423	1109
562	1424	1105
563	1427	1103
564	1429	1100
565	1431	1097
566	1434	1095
567	1436	1092
568	1438	1089
569	1440	1086
570	1443	1084
571	1445	1081
572	1447	1078
573	1450	1076
574	1452	1073
575	1454	1070
576	1456	1067
577	1458	1065
578	1461	1062
579	1463	1059
580	1465	1056
581	1467	1054
582	1469	1051
583	1471	1048
584	1475	1046
585	1477	1043
586	1479	1040
587	1481	1037
588	1483	1035
589	1485	1032
590	1487	1029
591	1490	1027
592	1493	1024
593	1496	1022
594	1498	1020
595	1501	1017
596	1503	1014
597	1506	1012
598	1508	1009
599	1510	1006
600	1512	1004
601	1514	1001
602	1515	998
603	1517	994
604	1519	992
605	1522	989
606	1524	987
607	1527	984
608	1529	981
609	1531	979
610	1534	976
611	1537	974
612	1539	972
613	1542	969
614	1544	966
615	1546	964
616	1548	961
617	1550	958
618	1553	956
619	1555	953
620	1558	951
621	1563	950
622	1565	947
623	1572	947
624	1575	945
625	1581	944
626	1591	946
627	1594	944
628	1597	942
629	1601	940
630	1606	939
631	1612	938
632	1622	940
633	1626	939
634	1631	937
635	1640	938
636	1662	947
637	1666	945
638	1672	944
639	1676	942
640	1681	941
641	1687	941
642	1690	938
643	1695	937
644	1702	937
645	1706	934
646	1708	932
647	1715	931
648	1718	929
649	1721	927
650	1724	924
651	1727	922
652	1731	920
653	1734	917
654	1736	914
655	1738	911
656	1741	909
657	1745	907
658	1747	904
659	1750	901
660	1752	898
661	1755	896
662	1757	893
663	1763	892
664	1765	889
665	1767	886
666	1771	884
667	1775	882
668	1778	879
669	1781	877
670	1791	878
671	1796	876
672	1815	881
673	1826	883
674	1831	881
675	1834	879
676	1849	882
677	1854	880
678	1861	879
679	1865	877
680	1868	875
681	1872	873
682	1876	871
683	1878	868
684	1881	865
685	1882	861
686	1884	858
687	1887	855
688	1891	853
689	1894	850
690	1896	848
691	1899	845
692	1901	842
693	1907	841
694	1910	838
695	1913	835
696	1914	832
697	1916	829
698	1918	825
699	1921	823
700	1924	820
701	1925	817
702	1927	814
703	1929	811
704	1931	808
705	1934	805
706	1938	803
707	1940	800
708	1942	797
709	1943	794
710	1945	790
711	1947	787
712	1948	784
713	1952	782
714	1954	778
715	1955	775
716	1957	772
717	1958	769
718	1959	765
719	1961	762
720	1963	759
721	1967	757
722	1969	754
723	1971	751
724	1973	748
725	1975	745
726	1976	742
727	1978	739
728	1981	736
729	1984	734
730	1986	730
731	1988	727
732	1990	724
733	1992	721
734	1994	718
735	1996	716
736	1999	713
737	2001	710
738	2003	707
739	2005	704
740	2006	701
741	2008	698
742	2010	695
743	2013	692
744	2015	690
745	2018	687
746	2020	684
747	2022	681
748	2023	678
749	2025	675
