회사명,거래소코드,회계년도,자산(*)(연결),자산(*),영업이익(손실),영업이익(손실)(연결),부채(*)(연결),부채(*),자본(*)(연결),자본(*),매출액(영업수익)(*)(연결),매출액(영업수익)(*),유동자산(*)(연결),유동자산(*),유동부채(*)(연결),유동부채(*),이익잉여금(*)(연결),이익잉여금(*)
(주)넵튠,217270,2020/12,161254312,172714608,-973618,-8671673,52651433,38102055,108602879,134612553,19639704,7492899,42816771,30481062,31544200,24244155,22293968,37471538
경남스틸(주),039240,2020/12,,138711490,5268076,,,50714525,,87996965,,297524764,,83465208,,47094093,,82783532
