회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,폐지일자,부실기업여부
골드앤에스,2010,2.596637152,-10.51427378,0.728424169,202.536078,112.1418695,0,0
골드앤에스,2011,3.732475417,-10.75309103,3.555442314,192.5599732,101.8116896,0,0
골드앤에스,2012,11.47918852,-22.12491612,-4.548824705,196.5384962,84.48233886,0,0
골드앤에스,2009,3.448214289,7.265072263,1.889544772,234.3445906,92.5372718,0,0
골드앤에스,2014,-21.43838631,-76.00219814,-4.983567697,135.0771427,67.24313159,0,0
골드앤에스,2015,30.79096364,-62.95045153,4.406343283,269.5428905,92.09961176,0,0
골드앤에스,2016,26.72806958,-79.65061887,2.086811424,424.0551409,85.12102094,0,0
골드앤에스,2017,44.44213539,-141.1393394,-21.48672517,448.6565071,74.54340397,0,0
골드앤에스,2018,-16.41506268,-67.10527069,-10.73427262,148.024045,20.43775437,0,0
골드앤에스,2013,-27.2330634,-52.51116756,-9.684796648,134.2615258,76.87963485,0,0
골드카운티,2009,31.65814291,-278.8186724,-8.886805691,1974.22754,9.839346339,0,0
골드퍼시픽,2010,67.40540277,2.444377624,3.36201929,1145.701894,46.55236673,0,0
골드퍼시픽,2009,71.3987228,0.703178594,-3.610326617,1456.208487,37.5068748,0,0
골드퍼시픽,2012,51.73159187,6.203658619,2.434238154,430.7073607,35.13230731,0,0
골드퍼시픽,2013,17.60899836,-22.34902533,-16.5774488,192.5381159,21.2773779,0,0
골드퍼시픽,2014,14.19179681,-20.12250544,-14.2444705,165.2770544,39.30087255,0,0
골드퍼시픽,2011,45.9593201,5.530270602,8.440032439,486.7915141,40.90092933,0,0
골드퍼시픽,2016,-11.19822522,-269.68271,-76.65049821,120.4674395,86.20790418,0,0
골드퍼시픽,2017,-13.29752856,-116.5561332,3.529054368,125.3000723,18.93799025,0,0
골드퍼시픽,2018,31.19378486,-13.36988739,-1.338361096,213.2363035,15.09111513,0,0
골드퍼시픽,2015,35.75282865,-46.64614496,-28.69021767,387.1630756,65.21923173,0,0
골프존,2016,17.73707117,25.53388534,23.39442677,279.3615548,115.4592426,0,0
골프존,2017,42.84009646,46.22486176,13.2173644,394.5719337,78.88335744,0,0
골프존,2018,35.7892551,48.24363713,11.44845507,429.5998363,78.21259089,0,0
골프존,2015,17.11798537,20.50900631,26.73751395,257.1254526,113.1521022,0,0
골프존뉴딘홀딩스,2010,64.08636419,80.19338757,34.17286154,825.4961779,101.1080984,0,0
골프존뉴딘홀딩스,2011,65.89055955,51.54594829,13.99513766,1299.801334,57.08009031,0,0
골프존뉴딘홀딩스,2012,25.77184134,47.87715362,13.65851628,418.3927396,53.54355886,0,0
