회사명,거래소코드,회계년도,종가(원),보통주(천원),시총,상장협 산업분류(대분류),상장협 산업분류(중분류),상장협 산업분류(소분류)
(주)고려시멘트,198440,12-18,2595,31979960,82987996200,제조업,  비금속 광물제품 제조업,"    시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,12-19,3075,31979960,98338377000,제조업,  비금속 광물제품 제조업,"    시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,12-20,3030,31979960,96899278800,제조업,  비금속 광물제품 제조업,"    시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고영테크놀러지,98460,12-10,18000,8521924,1.53395E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-11,30900,8625888,2.6654E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-12,28100,8954134,2.51611E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-13,27950,8955634,2.5031E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-14,42800,13436451,5.7508E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-15,38650,13637951,5.27107E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-16,45200,13668951,6.17837E+11,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-17,82500,13685951,1.12909E+12,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-18,82500,13687951,1.12926E+12,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-19,105500,13717951,1.44724E+12,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)고영테크놀러지,98460,12-20,105000,13730951,1.44175E+12,제조업,  기타 기계 및 장비 제조업,    특수 목적용 기계 제조업
(주)골드앤에스,35290,12-10,445,51658079,22987845155,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-11,436,51658079,22522922444,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-12,476,71639364,34100337264,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-13,175,71639364,12536888700,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-14,3360,12155384,40842090240,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-15,5980,19704041,1.1783E+11,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-16,3795,20034620,76031382900,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-17,4690,22173875,1.03995E+11,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-18,3170,22761247,72153152990,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-19,11750,2570137,30199109750,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-20,11750,36223910,4.25631E+11,정보통신업,  출판업,"    서적, 잡지 및 기타 인쇄물 출판업"
(주)골드퍼시픽,38530,12-10,620,22354839,13860000180,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-11,1095,22354839,24478548705,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-12,1235,23180526,28627949610,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
(주)골드퍼시픽,38530,12-13,849,25706927,21825181023,도매 및 소매업,  도매 및 상품 중개업,    생활용품 도매업
