회사명,거래소코드,회계년도,종가(원),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),시총
(주)아스타,246720,12-21,4705,12664779,59587785195
(주)아스타,246720,12-21,4705,0,0
(주)아스타,246720,12-21,4705,12664779,59587785195
(주)아스트,67390,12-21,5690,0,0
(주)아스트,67390,12-21,5690,25695494,1.46207E+11
(주)아스트,67390,12-21,5690,25695494,1.46207E+11
(주)아스플로,159010,12-21,23800,4444913,1.05789E+11
(주)아스플로,159010,12-21,23800,4444913,1.05789E+11
(주)아스플로,159010,12-21,23800,0,0
(주)아시아경제,127710,12-21,3320,30206408,1.00285E+11
(주)아시아경제,127710,12-21,3320,30206408,1.00285E+11
(주)아우딘퓨쳐스,227610,12-21,1465,22178848,32492012320
(주)아우딘퓨쳐스,227610,12-21,1465,22178848,32492012320
(주)아이디스,143160,12-21,23500,10716390,2.51835E+11
(주)아이디스,143160,12-21,23500,10716390,2.51835E+11
(주)아이디스홀딩스,54800,12-21,13050,10347756,1.35038E+11
(주)아이디스홀딩스,54800,12-21,13050,10347756,1.35038E+11
(주)아이비김영,339950,12-21,3865,44946655,1.73719E+11
(주)아이비김영,339950,12-21,3865,44946655,1.73719E+11
(주)아이센스,99190,12-21,30250,13737238,4.15551E+11
(주)아이센스,99190,12-21,30250,13737238,4.15551E+11
(주)아이스크림에듀,289010,12-21,7140,12864037,91849224180
(주)아이스크림에듀,289010,12-21,7140,12864037,91849224180
(주)아이스크림에듀,289010,12-21,7140,0,0
(주)아이씨디,40910,12-21,12850,18065413,2.32141E+11
(주)아이씨디,40910,12-21,12850,18065413,2.32141E+11
(주)아이씨케이,68940,12-21,4030,34679722,1.39759E+11
(주)아이씨케이,68940,12-21,4030,34679722,1.39759E+11
(주)아이앤씨테크놀로지,52860,12-21,3970,17862854,70915530380
(주)아이앤씨테크놀로지,52860,12-21,3970,17862854,70915530380
(주)아이에스시,95340,12-21,35350,16544516,5.84849E+11
(주)아이에스시,95340,12-21,35350,16544516,5.84849E+11
(주)아이에스이커머스,69920,12-21,3150,25826362,81353040300
(주)아이에스이커머스,69920,12-21,3150,25826362,81353040300
(주)아이에스이커머스,69920,12-21,3150,0,0
(주)아이에이,38880,12-21,1045,0,0
(주)아이에이,38880,12-21,1045,294769150,3.08034E+11
(주)아이에이,38880,12-21,1045,294769150,3.08034E+11
(주)아이엘사이언스,307180,12-21,6600,22436219,1.48079E+11
(주)아이엘사이언스,307180,12-21,6600,22436219,1.48079E+11
(주)아이엘사이언스,307180,12-21,6600,0,0
(주)아이엠,101390,12-21,6780,6718988,45554738640
(주)아이엠,101390,12-21,6780,6718988,45554738640
(주)아이엠비씨,52220,12-21,4905,23000000,1.12815E+11
(주)아이엠비씨,52220,12-21,4905,23000000,1.12815E+11
(주)아이오케이컴퍼니,78860,12-21,1410,0,0
(주)아이오케이컴퍼니,78860,12-21,1410,93243550,1.31473E+11
(주)아이오케이컴퍼니,78860,12-21,1410,93243550,1.31473E+11
(주)아이윈,90150,12-21,5340,17358393,92693818620
(주)아이윈,90150,12-21,5340,17358393,92693818620
(주)아이윈플러스,123010,12-21,1690,57521855,97211934950
(주)아이윈플러스,123010,12-21,1690,57678985,97477484650
(주)아이윈플러스,123010,12-21,1690,157130,265549700
(주)아이즈비전,31310,12-21,4420,16439898,72664349160
(주)아이즈비전,31310,12-21,4420,16439898,72664349160
(주)아이컴포넌트,59100,12-21,7410,7070860,52395072600
(주)아이컴포넌트,59100,12-21,7410,0,0
(주)아이컴포넌트,59100,12-21,7410,7070860,52395072600
(주)아이퀘스트,262840,12-21,10750,9860000,1.05995E+11
(주)아이퀘스트,262840,12-21,10750,0,0
(주)아이퀘스트,262840,12-21,10750,9860000,1.05995E+11
(주)아이톡시,52770,12-21,2085,19633933,40936750305
(주)아이톡시,52770,12-21,2085,19633933,40936750305
(주)아이티센,124500,12-21,5010,0,0
(주)아이티센,124500,12-21,5010,19907333,99735738330
(주)아이티센,124500,12-21,5010,19907333,99735738330
(주)아이티아이즈,372800,12-21,24300,5776980,1.40381E+11
(주)아이티아이즈,372800,12-21,24300,200010,4860243000
(주)아이티아이즈,372800,12-21,24300,5976990,1.45241E+11
(주)아이티엑스에이아이,99520,12-21,1285,29301683,37652662655
(주)아이티엑스에이아이,99520,12-21,1285,29667537,38122785045
(주)아이티엑스에이아이,99520,12-21,1285,365854,470122390
(주)아이티엠반도체,84850,12-21,42600,23123264,9.85051E+11
(주)아이티엠반도체,84850,12-21,42600,23123264,9.85051E+11
(주)아이패밀리에스씨,114840,12-21,17700,4120276,72928885200
(주)아이패밀리에스씨,114840,12-21,17700,4120276,72928885200
(주)아즈텍더블유비이,32080,12-21,3315,21491029,71242761135
(주)아즈텍더블유비이,32080,12-21,3315,21491029,71242761135
(주)아진엑스텍,59120,12-21,11950,9748596,1.16496E+11
(주)아진엑스텍,59120,12-21,11950,9748596,1.16496E+11
(주)아진엑스텍,59120,12-21,11950,0,0
(주)아톤,158430,12-21,44000,4353577,1.91557E+11
(주)아톤,158430,12-21,44000,0,0
(주)아톤,158430,12-21,44000,4353577,1.91557E+11
(주)아프리카티비,67160,12-21,202700,11494767,2.32999E+12
(주)아프리카티비,67160,12-21,202700,11494767,2.32999E+12
(주)안랩,53800,12-21,98900,10013855,9.9037E+11
(주)안랩,53800,12-21,98900,10013855,9.9037E+11
(주)안트로젠,65660,12-21,64300,0,0
(주)안트로젠,65660,12-21,64300,9421845,6.05825E+11
(주)안트로젠,65660,12-21,64300,9421845,6.05825E+11
(주)알로이스,297570,12-21,2925,34621218,1.01267E+11
(주)알로이스,297570,12-21,2925,34621218,1.01267E+11
(주)알비더블유,361570,12-21,27200,7930590,2.15712E+11
(주)알비더블유,361570,12-21,27200,7930590,2.15712E+11
(주)알비더블유,361570,12-21,27200,0,0
(주)알에프세미,96610,12-21,5990,10474399,62741650010
(주)알에프세미,96610,12-21,5990,10474399,62741650010
(주)알에프세미,96610,12-21,5990,0,0
(주)알에프텍,61040,12-21,6080,32089259,1.95103E+11
(주)알에프텍,61040,12-21,6080,32089259,1.95103E+11
(주)알에프텍,61040,12-21,6080,0,0
(주)알엔투테크놀로지,148250,12-21,15250,0,0
(주)알엔투테크놀로지,148250,12-21,15250,7640489,1.16517E+11
(주)알엔투테크놀로지,148250,12-21,15250,7640489,1.16517E+11
(주)알체라,347860,12-21,34150,13720283,4.68548E+11
(주)알체라,347860,12-21,34150,13720283,4.68548E+11
(주)알체라,347860,12-21,34150,0,0
(주)알테오젠,196170,12-21,75700,993524,75209766800
(주)알테오젠,196170,12-21,75700,43306882,3.27833E+12
(주)알테오젠,196170,12-21,75700,42313358,3.20312E+12
(주)알톤스포츠,123750,12-21,4205,12746297,53598178885
(주)알톤스포츠,123750,12-21,4205,12746297,53598178885
(주)알톤스포츠,123750,12-21,4205,0,0
(주)알티캐스트,85810,12-21,2425,29685769,71987989825
(주)알티캐스트,85810,12-21,2425,29685769,71987989825
(주)알티캐스트,85810,12-21,2425,0,0
(주)알파홀딩스,117670,12-21,3040,22287952,67755374080
(주)알파홀딩스,117670,12-21,3040,0,0
(주)알파홀딩스,117670,12-21,3040,22287952,67755374080
(주)압타머사이언스,291650,12-21,17050,460000,7843000000
(주)압타머사이언스,291650,12-21,17050,8926126,1.5219E+11
(주)압타머사이언스,291650,12-21,17050,8466126,1.44347E+11
(주)애니플러스,310200,12-21,5200,29397849,1.52869E+11
(주)애니플러스,310200,12-21,5200,29397849,1.52869E+11
(주)애드바이오텍,179530,12-21,,7693044,0
(주)애드바이오텍,179530,12-21,,0,0
(주)애드바이오텍,179530,12-21,,7693044,0
(주)액션스퀘어,205500,12-21,6210,45754696,2.84137E+11
(주)액션스퀘어,205500,12-21,6210,45754696,2.84137E+11
(주)액토즈소프트,52790,12-21,16700,11330638,1.89222E+11
(주)액토즈소프트,52790,12-21,16700,11330638,1.89222E+11
(주)액트로,290740,12-21,8820,10065011,88773397020
(주)액트로,290740,12-21,8820,0,0
(주)액트로,290740,12-21,8820,10065011,88773397020
(주)앤디포스,238090,12-21,9550,23605146,2.25429E+11
(주)앤디포스,238090,12-21,9550,23605146,2.25429E+11
(주)앤씨앤,92600,12-21,4125,0,0
(주)앤씨앤,92600,12-21,4125,23709424,97801374000
(주)앤씨앤,92600,12-21,4125,23709424,97801374000
(주)앱코,129890,12-21,13750,9833482,1.3521E+11
(주)앱코,129890,12-21,13750,0,0
(주)앱코,129890,12-21,13750,9833482,1.3521E+11
(주)야스,255440,12-21,16300,13058000,2.12845E+11
(주)야스,255440,12-21,16300,13058000,2.12845E+11
(주)양지사,30960,6-21,13350,15980000,2.13333E+11
